day,month,year,hour,humidity
1,1,1980,0,86
1,1,1980,1,86
1,1,1980,2,86
1,1,1980,3,86
1,1,1980,4,80
1,1,1980,5,86
1,1,1980,6,86
1,1,1980,7,86
1,1,1980,8,93
1,1,1980,9,93
1,1,1980,10,86
1,1,1980,11,80
1,1,1980,12,80
1,1,1980,13,74
1,1,1980,14,69
1,1,1980,15,69
1,1,1980,16,74
1,1,1980,17,86
1,1,1980,18,86
1,1,1980,19,92
1,1,1980,20,92
1,1,1980,21,92
1,1,1980,22,100
1,1,1980,23,93
2,1,1980,0,93
2,1,1980,1,100
2,1,1980,2,100
2,1,1980,3,92
2,1,1980,4,92
2,1,1980,5,92
2,1,1980,6,86
2,1,1980,7,86
2,1,1980,8,92
2,1,1980,9,92
2,1,1980,10,86
2,1,1980,11,86
2,1,1980,12,86
2,1,1980,13,92
2,1,1980,14,92
2,1,1980,15,92
2,1,1980,16,86
2,1,1980,17,86
2,1,1980,18,80
2,1,1980,19,80
2,1,1980,20,86
2,1,1980,21,86
2,1,1980,22,86
2,1,1980,23,86
3,1,1980,0,86
3,1,1980,1,86
3,1,1980,2,86
3,1,1980,3,86
3,1,1980,4,79
3,1,1980,5,79
3,1,1980,6,79
3,1,1980,7,79
3,1,1980,8,79
3,1,1980,9,79
3,1,1980,10,73
3,1,1980,11,79
3,1,1980,12,73
3,1,1980,13,73
3,1,1980,14,73
3,1,1980,15,79
3,1,1980,16,73
3,1,1980,17,79
3,1,1980,18,85
3,1,1980,19,85
3,1,1980,20,85
3,1,1980,21,85
3,1,1980,22,85
3,1,1980,23,85
4,1,1980,0,92
4,1,1980,1,92
4,1,1980,2,92
4,1,1980,3,92
4,1,1980,4,92
4,1,1980,5,100
4,1,1980,6,100
4,1,1980,7,85
4,1,1980,8,92
4,1,1980,9,100
4,1,1980,10,85
4,1,1980,11,92
4,1,1980,12,85
4,1,1980,13,92
4,1,1980,14,92
4,1,1980,15,92
4,1,1980,16,92
4,1,1980,17,92
4,1,1980,18,85
4,1,1980,19,85
4,1,1980,20,85
4,1,1980,21,79
4,1,1980,22,79
4,1,1980,23,79
5,1,1980,0,79
5,1,1980,1,85
5,1,1980,2,85
5,1,1980,3,85
5,1,1980,4,85
5,1,1980,5,85
5,1,1980,6,85
5,1,1980,7,92
5,1,1980,8,92
5,1,1980,9,92
5,1,1980,10,86
5,1,1980,11,86
5,1,1980,12,92
5,1,1980,13,86
5,1,1980,14,92
5,1,1980,15,92
5,1,1980,16,92
5,1,1980,16,92
5,1,1980,17,92
5,1,1980,18,100
5,1,1980,19,100
5,1,1980,20,100
5,1,1980,21,100
5,1,1980,22,100
5,1,1980,23,100
6,1,1980,0,100
6,1,1980,1,100
6,1,1980,2,100
6,1,1980,3,100
6,1,1980,4,92
6,1,1980,4,92
6,1,1980,5,92
6,1,1980,6,92
6,1,1980,7,100
6,1,1980,8,100
6,1,1980,9,92
6,1,1980,10,100
6,1,1980,11,100
6,1,1980,12,92
6,1,1980,13,100
6,1,1980,14,100
6,1,1980,15,100
6,1,1980,16,93
6,1,1980,17,93
6,1,1980,18,100
6,1,1980,19,100
6,1,1980,20,100
6,1,1980,21,100
6,1,1980,22,100
6,1,1980,23,92
7,1,1980,0,92
7,1,1980,1,92
7,1,1980,2,92
7,1,1980,3,92
7,1,1980,4,92
7,1,1980,5,92
7,1,1980,6,100
7,1,1980,7,92
7,1,1980,8,92
7,1,1980,9,92
7,1,1980,10,92
7,1,1980,11,92
7,1,1980,12,92
7,1,1980,13,92
7,1,1980,14,92
7,1,1980,15,92
7,1,1980,16,86
7,1,1980,17,86
7,1,1980,18,92
7,1,1980,19,92
7,1,1980,20,92
7,1,1980,21,92
7,1,1980,22,92
7,1,1980,23,85
8,1,1980,0,92
8,1,1980,1,92
8,1,1980,2,92
8,1,1980,3,85
8,1,1980,4,92
8,1,1980,4,92
8,1,1980,5,92
8,1,1980,6,92
8,1,1980,7,92
8,1,1980,8,92
8,1,1980,9,85
8,1,1980,10,85
8,1,1980,11,85
8,1,1980,12,85
8,1,1980,13,85
8,1,1980,14,85
8,1,1980,15,85
8,1,1980,16,85
8,1,1980,17,85
8,1,1980,18,85
8,1,1980,19,85
8,1,1980,20,85
8,1,1980,21,85
8,1,1980,22,92
8,1,1980,23,92
9,1,1980,0,92
9,1,1980,1,85
9,1,1980,2,92
9,1,1980,3,85
9,1,1980,4,85
9,1,1980,5,92
9,1,1980,6,92
9,1,1980,7,92
9,1,1980,8,92
9,1,1980,9,92
9,1,1980,10,92
9,1,1980,11,85
9,1,1980,12,85
9,1,1980,13,85
9,1,1980,14,92
9,1,1980,15,85
9,1,1980,16,85
9,1,1980,17,92
9,1,1980,18,92
9,1,1980,19,85
9,1,1980,20,85
9,1,1980,21,85
9,1,1980,22,92
9,1,1980,23,92
10,1,1980,0,92
10,1,1980,1,92
10,1,1980,2,92
10,1,1980,3,92
10,1,1980,4,92
