day,month,year,hour,temp
1,1,1980,0,2.0
1,1,1980,1,1.76
1,1,1980,2,1.73
1,1,1980,3,1.27
1,1,1980,4,1.26
1,1,1980,5,1.0
1,1,1980,6,1.0
1,1,1980,7,0.76
1,1,1980,8,0.73
1,1,1980,9,0.73
1,1,1980,10,1.0
1,1,1980,11,1.0
1,1,1980,12,1.0
1,1,1980,13,1.0
1,1,1980,14,1.28
1,1,1980,15,0.82
1,1,1980,16,-0.23
1,1,1980,17,-0.53
1,1,1980,18,0.0
1,1,1980,19,-0.24
1,1,1980,20,-0.27
1,1,1980,21,0.0
1,1,1980,22,0.0
1,1,1980,23,0.38
2,1,1980,0,0.01
2,1,1980,1,0.34
2,1,1980,2,0.0
2,1,1980,3,-0.33
2,1,1980,4,-1.0
2,1,1980,5,-1.33
2,1,1980,6,-1.54
2,1,1980,7,-1.0
2,1,1980,8,-1.58
2,1,1980,9,-1.82
2,1,1980,10,-1.0
2,1,1980,11,-0.45
2,1,1980,12,0.0
2,1,1980,13,0.0
2,1,1980,14,0.0
2,1,1980,15,0.0
2,1,1980,16,0.0
2,1,1980,17,0.0
2,1,1980,18,-0.45
2,1,1980,19,-0.49
2,1,1980,20,-1.0
2,1,1980,21,-1.0
2,1,1980,22,-1.0
2,1,1980,23,-1.33
3,1,1980,0,-1.33
3,1,1980,1,-1.33
3,1,1980,2,-1.33
3,1,1980,3,-2.33
3,1,1980,4,-3.65
3,1,1980,5,-4.31
3,1,1980,6,-3.99
3,1,1980,7,-3.99
3,1,1980,8,-4.27
3,1,1980,9,-4.72
3,1,1980,10,-4.48
3,1,1980,11,-3.63
3,1,1980,12,-2.82
3,1,1980,13,-2.75
3,1,1980,14,-2.54
3,1,1980,15,-3.0
3,1,1980,16,-3.49
3,1,1980,17,-4.09
3,1,1980,18,-4.27
3,1,1980,19,-4.24
3,1,1980,20,-4.0
3,1,1980,21,-4.65
3,1,1980,22,-5.38
3,1,1980,23,-7.47
4,1,1980,0,-8.32
4,1,1980,1,-8.97
4,1,1980,2,-8.31
4,1,1980,3,-9.3
4,1,1980,4,-9.64
4,1,1980,5,-9.67
4,1,1980,6,-9.0
4,1,1980,7,-8.75
4,1,1980,8,-8.73
4,1,1980,9,-7.82
4,1,1980,10,-7.24
4,1,1980,11,-6.73
4,1,1980,12,-6.0
4,1,1980,13,-5.75
4,1,1980,14,-5.73
4,1,1980,15,-5.73
4,1,1980,16,-5.76
4,1,1980,17,-5.99
4,1,1980,18,-5.99
4,1,1980,19,-5.99
4,1,1980,20,-5.99
4,1,1980,21,-6.01
4,1,1980,22,-6.52
4,1,1980,23,-6.12
5,1,1980,0,-5.99
5,1,1980,1,-5.99
5,1,1980,2,-5.33
5,1,1980,3,-5.33
5,1,1980,4,-5.0
5,1,1980,5,-4.33
5,1,1980,6,-4.27
5,1,1980,7,-4.0
5,1,1980,8,-4.0
5,1,1980,9,-3.55
5,1,1980,10,-3.0
5,1,1980,11,-2.45
5,1,1980,12,-2.27
5,1,1980,13,-2.0
5,1,1980,14,-1.71
5,1,1980,15,-1.55
5,1,1980,16,-1.5
5,1,1980,16,-1.5
5,1,1980,17,-1.55
5,1,1980,18,-1.82
5,1,1980,19,-1.75
5,1,1980,20,-1.82
5,1,1980,21,-1.67
5,1,1980,22,-1.67
5,1,1980,23,-1.33
6,1,1980,0,-1.33
6,1,1980,1,-1.33
6,1,1980,2,-1.67
6,1,1980,3,-1.33
6,1,1980,4,-1.34
6,1,1980,4,-1.34
6,1,1980,5,-1.33
6,1,1980,6,-1.55
6,1,1980,7,-1.5
6,1,1980,8,-1.55
6,1,1980,9,-1.27
6,1,1980,10,-0.75
6,1,1980,11,-0.45
6,1,1980,12,-0.27
6,1,1980,13,0.25
6,1,1980,14,0.27
6,1,1980,15,0.45
6,1,1980,16,0.76
6,1,1980,17,0.73
6,1,1980,18,0.45
6,1,1980,19,0.5
6,1,1980,20,0.18
6,1,1980,21,0.18
6,1,1980,22,0.25
6,1,1980,23,0.18
7,1,1980,0,0.0
7,1,1980,1,0.0
7,1,1980,2,-0.27
7,1,1980,3,-0.27
7,1,1980,4,-0.24
7,1,1980,5,-0.54
7,1,1980,6,-1.0
7,1,1980,7,-1.0
7,1,1980,8,-1.55
7,1,1980,9,-1.82
7,1,1980,10,-1.75
7,1,1980,11,-1.82
7,1,1980,12,-2.0
7,1,1980,13,-2.0
7,1,1980,14,-2.0
7,1,1980,15,-2.0
7,1,1980,16,-2.24
7,1,1980,17,-2.24
7,1,1980,18,-2.28
7,1,1980,19,-2.75
7,1,1980,20,-3.09
7,1,1980,21,-3.82
7,1,1980,22,-3.99
7,1,1980,23,-4.26
8,1,1980,0,-4.82
8,1,1980,1,-4.5
8,1,1980,2,-4.82
8,1,1980,3,-5.27
8,1,1980,4,-5.5
8,1,1980,4,-5.5
8,1,1980,5,-5.55
8,1,1980,6,-5.55
8,1,1980,7,-5.5
8,1,1980,8,-5.55
8,1,1980,9,-5.27
8,1,1980,10,-5.24
8,1,1980,11,-4.45
8,1,1980,12,-4.27
8,1,1980,13,-4.0
8,1,1980,14,-4.0
8,1,1980,15,-3.81
8,1,1980,16,-3.75
8,1,1980,17,-3.82
8,1,1980,18,-4.27
8,1,1980,19,-4.24
8,1,1980,20,-4.27
8,1,1980,21,-4.27
8,1,1980,22,-4.55
8,1,1980,23,-4.6
9,1,1980,0,-4.55
9,1,1980,1,-4.24
9,1,1980,2,-4.55
9,1,1980,3,-4.27
9,1,1980,4,-4.24
